recalling_firm_normalized,recall_count,unique_event_count,class_i_count,class_i_pct,first_report_date,latest_report_date,median_reporting_lag_days,active_year_count
GFA PRODUCTION XIAMEN CO LTD,10,1,10,100.0,2023-02-08,2023-02-08,47.0,1
GRANULES PHARMACEUTICALS INC,10,6,0,0.0,2024-08-14,2026-02-11,31.0,3
K C PHARMACEUTICALS INC,10,2,0,0.0,2023-07-19,2026-04-08,36.0,2
LANNETT COMPANY INC,10,9,0,0.0,2022-02-23,2026-07-08,26.0,5
MEDLINE INDUSTRIES LP NORTHFIELD,10,4,0,0.0,2023-11-15,2025-09-03,58.0,3
OPTIKEM INTERNATIONAL INC,10,1,0,0.0,2024-03-20,2024-03-20,20.0,1
PD RX PHARMACEUTICALS INC,10,4,0,0.0,2021-05-05,2025-01-01,34.0,4
PROFESSIONAL DISPOSABLES INTERNATIONAL INC,10,2,0,0.0,2021-09-01,2022-03-02,40.0,2
BLAINE LABS INC,9,2,2,22.22,2022-03-30,2026-07-08,91.0,2
THE HARVARD DRUG GROUP,9,9,0,0.0,2021-07-21,2023-07-05,23.0,3
AMERICAN HEALTH PACKAGING,8,8,0,0.0,2021-01-27,2022-05-25,22.0,2
AMERICAN REGENT INC,8,5,0,0.0,2024-05-29,2026-05-06,19.5,3
AMGEN INC,8,3,0,0.0,2022-05-18,2026-07-01,27.0,3
BEIERSDORF INC,8,1,5,62.5,2021-10-27,2021-10-27,27.0,1
BRYANT RANCH PREPACK INC,8,3,2,25.0,2022-07-20,2024-06-12,33.0,3
DENISON PHARMACEUTICALS LLC,8,4,0,0.0,2023-06-07,2025-03-19,35.0,3
DRUG DEPOT INC DBA APS PHARMACY,8,1,0,0.0,2022-04-06,2022-04-06,14.0,1
HERITAGE PHARMACEUTICALS INC,8,3,0,0.0,2021-05-12,2025-11-05,30.0,3
INTEGRADOSE COMPOUNDING SERVICES LLC,8,7,1,12.5,2021-10-06,2026-06-24,19.0,4
JUBILANT CADISTA PHARMACEUTICALS INC,8,7,1,12.5,2021-03-10,2023-01-11,17.5,3
LITTLE MOON ESSENTIALS LLC,8,1,0,0.0,2024-07-10,2024-07-10,20.0,1
MIDLAB INCORPORATED,8,2,0,0.0,2022-08-31,2024-12-11,35.0,2
MYLAN INSTITUTIONAL INC,8,2,0,0.0,2024-12-18,2025-03-26,29.0,2
MYLAN PHARMACEUTICALS INC,8,8,3,37.5,2022-01-26,2026-03-11,20.5,3
NORTHWIND PHARMACEUTICALS LLC,8,2,0,0.0,2023-05-03,2025-09-24,48.0,2
PADAGIS US LLC,8,8,0,0.0,2022-01-19,2026-07-22,29.0,5
PHARMA NOBIS LLC,8,3,0,0.0,2023-04-26,2024-05-22,34.0,2
ROHTO MENTHOLATUM VIETNAM CO LTD,8,1,0,0.0,2026-07-29,2026-07-29,15.0,1
TAILSTORM HEALTH INC,8,3,0,0.0,2024-07-17,2025-07-09,37.0,2
THE HARVARD DRUG GROUP LLC,8,6,0,0.0,2025-07-09,2026-07-01,20.0,2
VIONA PHARMACEUTICALS INC,8,7,0,0.0,2021-06-30,2025-10-22,29.0,4
WELLS PHARMA OF HOUSTON LLC,8,2,0,0.0,2023-12-13,2026-05-06,35.0,2
ANI PHARMACEUTICALS INC,7,3,0,0.0,2022-02-23,2026-07-01,8.0,2
ATHENEX PHARMA SOLUTIONS LLC,7,1,0,0.0,2022-03-30,2022-03-30,16.0,1
DENTAL ALLIANCE HOLDINGS LLC,7,1,0,0.0,2022-02-02,2022-02-02,61.0,1
FRENDA CORPORATION,7,1,0,0.0,2023-02-08,2023-02-08,55.0,1
GLAXOSMITHKLINE CONSUMER HEALTHCARE HOLDINGS LLC,7,1,0,0.0,2023-11-08,2023-11-08,341.0,1
NORTH AMERICAN CUSTOM LABORATORIES LLC DBA FARMAKEIO SUPERIOR CUSTOM COMPOUNDING,7,1,0,0.0,2022-04-27,2022-04-27,22.0,1
NOVOCOL PHARMACEUTICAL OF CANADA INC,7,1,0,0.0,2025-12-24,2025-12-24,54.0,1
SAGENT PHARMACEUTICALS,7,4,2,28.57,2023-08-02,2026-05-27,22.0,3
SANDOZ INC,7,6,3,42.86,2021-12-08,2026-06-24,21.0,4
WIZCURE PHARMAA PRIVATE LIMITED,7,1,0,0.0,2026-03-04,2026-03-04,63.0,1
