recalling_firm_normalized,recall_count,unique_event_count,class_i_count,class_i_pct,first_report_date,latest_report_date,median_reporting_lag_days,active_year_count
PARTNER THERAPEUTICS INC,1,1,0,0.0,2021-07-21,2021-07-21,28.0,1
PAYLESS COMPOUNDERS LLC,1,1,0,0.0,2026-04-22,2026-04-22,47.0,1
PEOPLE S CUSTOM RX AND CLINICAL CARE LLC,1,1,1,100.0,2021-08-18,2021-08-18,99.0,1
PHARMASOL CORPORATION,1,1,0,0.0,2022-03-02,2022-03-02,50.0,1
PHE INC,1,1,1,100.0,2021-09-29,2021-09-29,42.0,1
PINK TOYZ,1,1,1,100.0,2022-04-27,2022-04-27,29.0,1
PIRAMAL CRITICAL CARE INC,1,1,0,0.0,2021-10-27,2021-10-27,47.0,1
PNHC LLC,1,1,1,100.0,2021-05-12,2021-05-12,63.0,1
POSITIVE HEALTH,1,1,1,100.0,2022-03-02,2022-03-02,20.0,1
PRAIRIE WOLF SPIRITS,1,1,1,100.0,2021-07-21,2021-07-21,30.0,1
PREMIER DENTAL PRODUCTS CO,1,1,0,0.0,2026-04-29,2026-04-29,15.0,1
PREQUEL SKIN,1,1,0,0.0,2024-09-18,2024-09-18,21.0,1
PRESCRIPTION LABS INC DBA GREENPARK,1,1,0,0.0,2021-09-22,2021-09-22,35.0,1
PREYE LLC,1,1,0,0.0,2026-07-01,2026-07-01,44.0,1
PRISMA HEALTH OUTSOURCING FACILITY,1,1,0,0.0,2021-06-23,2021-06-23,15.0,1
PRIVATE LABEL PARTNERS INC,1,1,0,0.0,2023-12-27,2023-12-27,14.0,1
PROMISE PHARMACY LLC,1,1,0,0.0,2021-09-22,2021-09-22,84.0,1
QIKMOOV LLC,1,1,1,100.0,2021-08-11,2021-08-11,28.0,1
QUALGEN LLC,1,1,0,0.0,2025-07-23,2025-07-23,37.0,1
RB HEALTH US LLC,1,1,0,0.0,2023-10-04,2023-10-04,36.0,1
RC OUTSOURCING LLC,1,1,0,0.0,2025-10-15,2025-10-15,23.0,1
RHODES PHARMACEUTICALS L P,1,1,0,0.0,2021-09-22,2021-09-22,34.0,1
RIGHT VALUE DRUG STORES LLC DBA CARIE BOYD S PRESCRIPTION SHOP,1,1,0,0.0,2023-12-13,2023-12-13,34.0,1
ROCK TOWN DISTILLERY INC,1,1,0,0.0,2022-03-30,2022-03-30,20.0,1
S B STORY LLC,1,1,0,0.0,2021-05-05,2021-05-05,41.0,1
SAMSUNG BIOEPIS CO LTD,1,1,0,0.0,2025-11-05,2025-11-05,26.0,1
SANITOR CORPORATION,1,1,0,0.0,2021-10-27,2021-10-27,36.0,1
SANOFI AVENTIS U S LLC,1,1,0,0.0,2023-05-24,2023-05-24,43.0,1
SATO PHARMACEUTICAL CO LTD,1,1,0,0.0,2026-02-04,2026-02-04,47.0,1
SCIEGEN PHARMACEUTICALS INC,1,1,0,0.0,2023-03-08,2023-03-08,19.0,1
SCOPE HEALTH,1,1,0,0.0,2026-05-06,2026-05-06,16.0,1
SCYNEXIS INC,1,1,1,100.0,2023-10-18,2023-10-18,23.0,1
SHIMOGA CHEMICALS,1,1,0,0.0,2026-07-15,2026-07-15,57.0,1
SHOPPERS PLAZA,1,1,1,100.0,2025-01-29,2025-01-29,44.0,1
SIDDHA FLOWER ESSENCES LLC,1,1,0,0.0,2025-05-14,2025-05-14,16.0,1
SIEGFRIED BARBERA SL,1,1,0,0.0,2023-12-20,2023-12-20,30.0,1
SIGAN INDUSTRIES GROUP INC,1,1,0,0.0,2025-03-19,2025-03-19,19.0,1
SOFIE CO DBA SOFIE,1,1,0,0.0,2023-10-04,2023-10-04,43.0,1
SOLOVITAL,1,1,1,100.0,2024-08-07,2024-08-07,26.0,1
SOUTHWEST IOWA RENEWABLE ENERGY LLC,1,1,0,0.0,2023-01-25,2023-01-25,111.0,1
SPECTRA MEDICAL DEVICES LLC,1,1,0,0.0,2026-06-10,2026-06-10,29.0,1
SPIRIT PHARMACEUTICALS,1,1,0,0.0,2021-08-25,2021-08-25,70.0,1
STANLEY SPECIALTY PHARMACY COMPOUNDING AND WELLNESS CENTER,1,1,0,0.0,2021-02-17,2021-02-17,27.0,1
STASKA PHARMACEUTICALS INC,1,1,1,100.0,2024-11-13,2024-11-13,44.0,1
STASON PHARMACEUTICALS INC,1,1,0,0.0,2024-03-13,2024-03-13,33.0,1
STOP CLOPEZ CORP,1,1,1,100.0,2024-05-22,2024-05-22,30.0,1
STUFFBYNAINAX,1,1,1,100.0,2026-03-11,2026-03-11,86.0,1
SUGARMDS LLC,1,1,1,100.0,2023-12-13,2023-12-13,35.0,1
SUN PHARMA TARO,1,1,0,0.0,2025-12-24,2025-12-24,15.0,1
SUN PHARMACEUTICAL INDUSTRIES LTD,1,1,0,0.0,2023-05-03,2023-05-03,14.0,1
SUNSTAR AMERICAS INC,1,1,0,0.0,2021-01-20,2021-01-20,23.0,1
SUPER CHILL PRODUCTS,1,1,1,100.0,2024-03-27,2024-03-27,51.0,1
SUPERIOR GLOVE WORKS LTD,1,1,0,0.0,2022-09-21,2022-09-21,20.0,1
SV LABS PRESCOTT CORPORATION,1,1,0,0.0,2025-10-22,2025-10-22,27.0,1
TAIZHOU KANGPING MEDICAL SCIENCE AND TECHNOLOGY CO LTD,1,1,0,0.0,2025-08-27,2025-08-27,36.0,1
TARO PHARMACEUTICALS INC,1,1,0,0.0,2023-11-15,2023-11-15,9.0,1
TENN SOUTH DISTILLERY LLC DBA BIG MACHINE DISTILLERY,1,1,0,0.0,2023-07-19,2023-07-19,9.0,1
THE GENERAL HOSPITAL CORPORATION,1,1,0,0.0,2021-03-03,2021-03-03,14.0,1
THE W S BADGER COMPANY INC,1,1,0,0.0,2025-02-05,2025-02-05,19.0,1
TORCO RACE FUELS,1,1,0,0.0,2022-05-04,2022-05-04,13.0,1
TRIGEN LABORATORIES,1,1,0,0.0,2024-07-10,2024-07-10,23.0,1
TRINITY GOLD NUTRITION,1,1,0,0.0,2024-11-20,2024-11-20,14.0,1
TURBARE MANUFACTURING,1,1,0,0.0,2025-03-05,2025-03-05,15.0,1
UCB BIOSCIENCES INC,1,1,0,0.0,2026-05-27,2026-05-27,19.0,1
ULTRA SUPPLEMENT LLC,1,1,1,100.0,2022-08-10,2022-08-10,20.0,1
USV PRIVATE LIMITED,1,1,0,0.0,2025-10-29,2025-10-29,20.0,1
VALISA MFG LLC,1,1,1,100.0,2022-01-05,2022-01-05,30.0,1
VIVIER PHARMA INC,1,1,0,0.0,2024-10-02,2024-10-02,29.0,1
VIVUS INC,1,1,0,0.0,2023-07-19,2023-07-19,26.0,1
VOLT CANDY WHOLESALE CLUB,1,1,1,100.0,2023-03-08,2023-03-08,23.0,1
WALMART STORES,1,1,1,100.0,2022-03-23,2022-03-23,42.0,1
WATER JEL TECHNOLOGIES LLC,1,1,0,0.0,2026-05-06,2026-05-06,29.0,1
WELLNESS BIOSCIENCES,1,1,0,0.0,2023-05-03,2023-05-03,397.0,1
WISCONSIN PHARMACAL COMPANY,1,1,1,100.0,2026-05-27,2026-05-27,33.0,1
WOODBINE PRODUCTS CO INC,1,1,0,0.0,2022-10-12,2022-10-12,43.0,1
WORLD PERFUMES INC,1,1,0,0.0,2025-09-17,2025-09-17,216.0,1
WORLD SOURCE LLC,1,1,0,0.0,2021-06-23,2021-06-23,14.0,1
WUXI MEDICAL LNSTRUMENT FACTORY CO LTD,1,1,0,0.0,2025-03-05,2025-03-05,21.0,1
YAMTUN7,1,1,1,100.0,2021-07-21,2021-07-21,71.0,1
YANGZHOU YULOU PAPER PRODUCTS CO LTD,1,1,0,0.0,2025-10-01,2025-10-01,72.0,1
YOUR FAVORITE SHOP,1,1,1,100.0,2022-02-23,2022-02-23,15.0,1
ZEP INC,1,1,0,0.0,2026-06-17,2026-06-17,26.0,1
ZHEJIANG JINGWEI PHARMACEUTICAL CO LTD,1,1,0,0.0,2024-10-23,2024-10-23,42.0,1
ZYLA LIFE SCIENCES US INC,1,1,0,0.0,2023-11-15,2023-11-15,26.0,1
